k,mean_absolute_error,mean_squared_error,root_mean_squared_error
0,0.91217,4.1104956,2.0274358
1,0.7025168,2.3421257,1.5304005
2,0.42343852,0.28902188,0.53760755
3,0.54440624,1.0370952,1.0183787
4,0.35883442,0.24517712,0.49515364
5,0.37312496,0.2740498,0.52349764
6,0.712962,3.2827601,1.8118389
7,0.43531,0.2594308,0.5093435
8,0.51902664,0.45888105,0.6774076
9,1.173816,6.822486,2.6119888
10,0.38259882,0.20850608,0.45662466
11,0.2711765,0.08923582,0.29872364
12,0.43387005,0.25626835,0.5062295
13,0.4216131,0.25331098,0.5033001
14,0.4603466,0.26632324,0.5160651
15,0.5160296,0.30548838,0.55271006
16,0.6617744,0.43794537,0.6617744
78,0.54723614,1.2316825,0.8963812
